,feature name,rank
888,DDE_KT,727
785,DDE_EQ,727
3165,CKSAAP_RP.gap3,727
774,DDE_ED,727
998,DDE_RH,727
3218,CKSAAP_VL.gap3,727
884,DDE_KP,727
885,DDE_KQ,727
991,DDE_QY,727
3259,PAAC_Xc1.W,727
1595,GTPC_uncharger.uncharger.postivecharger,727
826,DDE_GR,727
886,DDE_KR,727
985,DDE_QQ,727
3117,CKSAAP_NT.gap3,727
3255,PAAC_Xc1.F,727
2516,CKSAAP_SE.gap1,727
783,DDE_EN,727
3129,CKSAAP_PL.gap3,727
3253,PAAC_Xc1.K,727
3296,RRI_N,727
553,CTriad_g3.g4.g5,727
46,CKSAAGP_alphaticr.aromatic.gap1,727
3436,ABHPRK__46,727
1501,GTPC_alphaticr.uncharger.alphaticr,727
579,CTriad_g4.g2.g2,727
3598,OVPC_Small,727
3427,ABHPRK__35,727
3425,ABHPRK__33,727
3421,ABHPRK__27,727
200,CTDC_charge.G1,727
3416,ABHPRK__21,727
3415,ABHPRK__20,727
1486,GTPC_alphaticr.aromatic.alphaticr,727
3413,ABHPRK__18,727
98,CKSAAGP_alphaticr.negativecharger.gap3,727
1485,GTPC_alphaticr.alphaticr.uncharger,727
